Assembly	uniq-contigs-contigs-contigs-contigs-contigs
# misassemblies	0
    # relocations	0
    # translocations	0
    # inversions	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# unaligned mis. contigs	0
# mismatches	42
# indels	9
    # indels (<= 5 bp)	5
    # indels (> 5 bp)	4
Indels length	192
